date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:42:01	298/298	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2006:42:01%20GMT	https://hasa.botble.com/vi/currency/switch/VND	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/VND	(from https://hasa.botble.com/vi)
13:42:02	298/298	---MC-	302	error ('Found')	text/html	date:Tue,%2011%20Oct%202022%2006:42:01%20GMT	https://hasa.botble.com/vi/currency/switch/RUB	D:/Demo-DACS2/hasa.botble.com/vi/currency/switch/RUB	(from https://hasa.botble.com/vi)
13:42:02	20161/20161	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:02%20GMT	https://hasa.botble.com/vi/compare	D:/Demo-DACS2/hasa.botble.com/vi/compare.html	(from https://hasa.botble.com/vi)
13:42:03	47080/47080	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:02%20GMT	https://hasa.botble.com/vi/products	D:/Demo-DACS2/hasa.botble.com/vi/products.html	(from https://hasa.botble.com/vi)
13:42:03	37168/37168	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:03%20GMT	https://hasa.botble.com/vi/product-categories/office-bags	D:/Demo-DACS2/hasa.botble.com/vi/product-categories/office-bags.html	(from https://hasa.botble.com/vi)
13:42:04	35735/35735	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:03%20GMT	https://hasa.botble.com/vi/product-categories/hand-bag	D:/Demo-DACS2/hasa.botble.com/vi/product-categories/hand-bag.html	(from https://hasa.botble.com/vi)
13:42:04	38789/38789	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:04%20GMT	https://hasa.botble.com/vi/product-categories/woman	D:/Demo-DACS2/hasa.botble.com/vi/product-categories/woman.html	(from https://hasa.botble.com/vi)
13:42:05	35824/35824	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:04%20GMT	https://hasa.botble.com/vi/product-categories/woman-wallet	D:/Demo-DACS2/hasa.botble.com/vi/product-categories/woman-wallet.html	(from https://hasa.botble.com/vi)
13:42:05	32379/32379	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:05%20GMT	https://hasa.botble.com/vi/blog	D:/Demo-DACS2/hasa.botble.com/vi/blog.html	(from https://hasa.botble.com/vi)
13:42:06	24056/24056	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Oct%202022%2006:42:05%20GMT	https://hasa.botble.com/vi/contact	D:/Demo-DACS2/hasa.botble.com/vi/contact.html	(from https://hasa.botble.com/vi)
